Centroid_ID	Centroid_Lon	Centroid_Lat	Project_ID	Projected_Lon	Projected_Lat	Projected_Distance
1452	13.308343	52.410764	7447	13.3049061	52.4173687	0.8104548573219151
1453	13.56688	52.52091	9347	13.5647509	52.52229	0.27982055461815786
1454	13.335338	52.530604	10903	13.3354037	52.5343311	0.40332679885096134
1455	13.428283	52.567923	11396	13.427822	52.5679276	0.051263346248868316
1456	13.333391	52.5134515	7547	13.3342684	52.5133491	0.09818965116002745
1457	13.433910999999998	52.527807	3418	13.4358496	52.5294412	0.2787564412826833
1458	13.324463	52.496734	124	13.3244265	52.4979305	0.12952703131680532
1459	13.47774	52.492138	3883	13.4779331	52.4924999	0.04463685168944272
1460	13.324010000000001	52.49486100000001	3816	13.3237287	52.4943731	0.06136251482873601
1461	13.468962333333332	52.51762166666666	4669	13.4695427	52.520389	0.3061295623379957
1462	13.277596	52.519998	964	13.2785105	52.5184124	0.19946468481278104
1463	13.440888	52.52691	7960	13.4408374	52.5244357	0.26765341811675997
1464	13.279198	52.51190500000001	987	13.2813148	52.5128227	0.25547236403526885
1465	13.427133	52.479534	12185	13.4256678	52.4791962	0.16696924169482447
1466	13.423022	52.4838	3666	13.4242145	52.4856618	0.24110483050182996
1467	13.390359	52.552564	5781	13.3902933	52.5502242	0.2532068211333679
1468	13.426210500000002	52.48913875	8339	13.4250679	52.4883203	0.1548482276931515
1469	13.371278	52.529457	196	13.3695992	52.5288694	0.19720063571784183
1470	13.315447	52.503783	8001	13.313665	52.504423	0.20990262546536406
1471	13.307472	52.504149	10522	13.3067759	52.5066336	0.27977758549282145
1472	13.49303	52.559385	11829	13.4935514	52.5590666	0.06742834343151637
1473	13.369332	52.484935	8712	13.36895	52.4850757	0.045121379774029906
1474	13.341695	52.447158	1514	13.3424161	52.4469475	0.0833544791847586
1475	13.315243	52.434789	11682	13.3134391	52.4353589	0.20985007607084827
1476	13.327362	52.428332	3879	13.327657	52.428483	0.03664622754953048
1477	13.454351999999998	52.51886800000001	3557	13.4536943	52.5187969	0.07353609405635093
1478	13.3065085	52.51695649999999	10149	13.306698	52.5168879	0.022340780827705378
1479	13.417241	52.529295	4773	13.4169664	52.5285532	0.08584699784300766
1480	13.424813	52.490028	7996	13.4245706	52.4888844	0.12659085576567813
1481	13.331	52.496772	7725	13.3308266	52.497007	0.03191057381066511
1482	13.473401	52.515046	6328	13.4734161	52.5138921	0.12478802714496881
1483	13.412667	52.529736	1705	13.4121386	52.5312084	0.16975092497275668
1484	13.483121	52.621145	8019	13.482885	52.6225251	0.1515205769402637
1485	13.332688500000001	52.46889300000001	1140	13.3326148	52.4688705	0.008549027824447422
1486	13.224213	52.429884	3744	13.2239664	52.4296838	0.03495032467609184
1487	13.488679	52.485733	4223	13.4915207	52.492194	0.766747231491652
1488	13.386997	52.547454	8099	13.3880861	52.5483922	0.158005442579233
1489	13.291580500000002	52.5185035	489	13.2924278	52.5191451	0.11703554667419093
1490	13.265319	52.520708	965	13.2638824	52.5210581	0.16417518404534673
1491	13.395735	52.49789000000001	1063	13.3958565	52.4978841	0.013525267695131623
1492	13.520034	52.530013	11432	13.5192626	52.5307106	0.1142178250947372
1493	13.390556	52.496222	10559	13.3906939	52.4959646	0.03178656917632435
1494	13.410026	52.516263	1679	13.4101571	52.5162926	0.014925115641336278
1495	13.396368	52.387047	5377	13.3971841	52.3866786	0.09911045014996205
1496	13.214816	52.439916	11069	13.215557	52.4277323	1.3214622682416066
1497	13.375747	52.55070600000001	1267	13.3762425	52.5491459	0.17753551935695439
1498	13.541079000000002	52.399172	6409	13.5415025	52.3976691	0.1691564961769107
1499	13.323827	52.493942	3818	13.3237196	52.4937947	0.0199159460772412
1500	13.35206233333333	52.456422	8613	13.3489159	52.4576214	0.3731568677458927
1501	13.4065865	52.51960250000001	7351	13.4067411	52.5186894	0.100250284166791
1502	13.36097775	52.485802500000005	3309	13.3610645	52.4860533	0.028796576177769723
1503	13.618816	52.443871	4309	13.6164359	52.4468017	0.41273853090906154
1504	13.448544333333333	52.477839	10576	13.4484421	52.4776423	0.024119281724774698
1505	13.280116	52.58893199999999	7312	13.2823169	52.5908794	0.3229672717464898
1506	13.364398	52.533405	11230	13.3650299	52.5339038	0.08859433741525562
1507	13.310148499999999	52.5002665	8598	13.3109121	52.5003221	0.08512144712764157
1508	13.225479	52.476089	7698	13.2362939	52.4694211	1.4025306154871873
1509	13.402476	52.480945	9253	13.4002148	52.4837037	0.39020818512538114
1510	13.324188499999998	52.49775150000001	124	13.3244265	52.4979305	0.03279467101918922
1511	13.298531500000001	52.4985495	11583	13.2993424	52.4984756	0.09052201845830983
1512	13.370259	52.531134	11232	13.3690634	52.5296544	0.20807512028829553
1513	13.31567	52.438127	785	13.3161568	52.4388835	0.09813606360288564
1514	13.409103	52.516865	1678	13.4092012	52.516766	0.0152937305519012
1515	13.419392000000002	52.487734499999995	9839	13.4205911	52.487394	0.13832667955127775
1516	13.349358222222223	52.523573555555565	3857	13.3495429	52.5245355	0.1060799478413839
1517	13.380977	52.465761	5667	13.3812102	52.4657345	0.026088668921109698
1518	13.295388	52.52754100000001	11318	13.297066	52.5269455	0.19740015031440666
1519	13.446928	52.475095499999995	6465	13.4480432	52.4776823	0.3060051002730181
1520	13.264639	52.48281899999999	530	13.2657924	52.4833764	0.1417319821483691
1521	13.220791	52.510893	3486	13.2198918	52.5083986	0.28793228533722337
1522	13.3699045	52.592702	5	13.3710101	52.5907607	0.24334883375402644
1523	13.413084	52.497492	1665	13.4140768	52.4984373	0.15046942568100305
1524	13.317386	52.566641	7402	13.317418	52.5666703	0.004765769010626565
1525	13.467122	52.463635	11471	13.4701586	52.4667159	0.47434784318580375
1526	13.42710875	52.54560675000001	4970	13.4269757	52.5459269	0.03765422858355127
1527	13.252408	52.51586700000001	4640	13.2529924	52.5158775	0.06499234165982513
1528	13.3889355	52.547726000000004	6769	13.3886598	52.5478973	0.0358215259998704
1529	13.324250333333335	52.52095966666667	11926	13.3249106	52.5215837	0.09974674097834763
1530	13.248053	52.53791800000001	1458	13.2477417	52.5380449	0.037240491658331314
1531	13.287048	52.411737	7831	13.2903773	52.4087948	0.4882896623630706
1532	13.460826999999998	52.521966000000006	8785	13.4587724	52.520537	0.27581730970684915
1533	13.302002499999999	52.517906	10147	13.3013232	52.5191576	0.15507735119276733
1534	13.426835500000001	52.50059450000001	11699	13.4264084	52.4993206	0.1457350705291354
1535	13.294396	52.50019	199	13.2966521	52.5014621	0.2861548814242419
1536	13.347402	52.551019	6154	13.3471846	52.5532367	0.24115109528497652
1537	13.386383	52.52212700000001	2874	13.3879051	52.5224122	0.1720388487797016
1538	13.341463	52.60785500000001	7300	13.3414574	52.6073638	0.05314862128202651
1539	13.424745	52.49559300000001	5466	13.4220477	52.4929711	0.4127617449041379
1540	13.484103	52.571516	3640	13.4826018	52.5721374	0.1799419190453869
1541	13.425498000000001	52.552478	11505	13.425319	52.5527071	0.031782812646523856
1542	13.353132	52.502147	6025	13.3531422	52.5022282	0.008857854179313191
1543	13.403819	52.492306000000006	7502	13.4026635	52.4921395	0.1297419751133668
1544	13.369448	52.46459100000001	2951	13.3702107	52.4661278	0.1866349957056804
1545	13.192056	52.540199	5921	13.1929883	52.5359603	0.4704478682898051
1546	13.47074	52.52894000000001	11341	13.4700258	52.5317374	0.3127508979126354
1547	13.190760999999998	52.534119	2550	13.1926541	52.5339998	0.21089858993423286
1548	13.386726	52.508725	1457	13.3873868	52.5102062	0.17627147593471384
1549	13.4896285	52.517012	4584	13.4903195	52.5147577	0.25557476975480964
1550	13.335323	52.596528	8945	13.3338294	52.5956293	0.19245232434759985
1551	13.480916	52.487134	7469	13.4816103	52.4896471	0.2824984849855984
1552	13.488839000000002	52.622058	8491	13.4897847	52.6206188	0.18781575102107892
1553	13.286199666666667	52.583948	10610	13.2881153	52.5846454	0.22598404307498673
1554	13.315232	52.44704300000001	8515	13.3152528	52.4495303	0.2691504573670646
1555	13.246057	52.43624200000001	9440	13.2426514	52.4336693	0.47004731944088496
1556	13.6258	52.401629	8676	13.6234416	52.3905647	1.2240955516862078
1557	13.403406	52.473109	8878	13.4006084	52.4654222	0.8877459039691672
1558	13.434498	52.432186	7108	13.4349241	52.4283424	0.4183854808684816
1559	13.436322	52.4752	7008	13.4390678	52.4766915	0.3453113731951233
1560	13.320901	52.511964	4374	13.3209631	52.5122639	0.03317674602338566
1561	13.426331	52.50951	9520	13.4256922	52.5084261	0.13707096317497436
1562	13.430124333333335	52.55153166666667	61	13.4301195	52.5513525	0.019385102277104185
1563	13.337306	52.513191000000006	7112	13.3380043	52.5136035	0.08956029238343088
1564	13.424658	52.483461	5932	13.4248517	52.4821818	0.1400205940498768
1565	13.366124	52.524313	255	13.3658139	52.525265	0.10860939158769352
1566	13.329254	52.57796	2214	13.3302865	52.5755456	0.2853518212568923
1567	13.318176	52.546035	818	13.318731	52.5463897	0.07267435142663885
1568	13.150227	52.518036	8068	13.1509897	52.5224667	0.487190285913415
1569	13.4009065	52.5174025	7352	13.4007164	52.518236	0.09260249325824094
1570	13.227968	52.538518	10579	13.2288023	52.5380282	0.10685135853631238
1571	13.269682	52.450334	5975	13.2700674	52.4499641	0.058644218032012495
1572	13.42428325	52.47732225	1070	13.4259633	52.4780926	0.20455113450033732
1573	13.449683	52.448126	8289	13.4499311	52.4455481	0.2801497913285603
1574	13.420955	52.475169	11914	13.4206499	52.4801468	0.5394593409518048
1575	13.449132	52.452178	12124	13.4492579	52.4523745	0.025447483037648846
1576	13.4164	52.474676	7328	13.418071	52.4801148	0.6169081301464929
1577	13.292608	52.510696	7155	13.2922129	52.5107455	0.04425853779908343
1578	13.332301	52.463709	766	13.3327357	52.4639143	0.053196225937765906
1579	13.429262	52.48211	12021	13.4296647	52.4838666	0.19519008913963112
1580	13.438532	52.539248	10946	13.4377704	52.5400504	0.12125402547499933
1581	13.571345	52.542891	12048	13.5707203	52.543294	0.08199208071240326
1582	13.3800885	52.5064415	4017	13.379159	52.5070418	0.12206334218697132
1583	13.173637	52.43006	2568	13.1719978	52.4208122	1.0177074393761543
1584	13.525657	52.477474	3143	13.5246983	52.4785369	0.15674438419390302
1585	13.234277	52.490411	1323	13.2318736	52.5068936	1.8040225842271447
1586	13.472589	52.50073	11838	13.4739656	52.5016415	0.18205993008789806
1587	13.426035	52.537036	11462	13.4265504	52.538527	0.17114156723402188
1588	13.381582	52.513527	3887	13.3821056	52.5139647	0.07504443282585767
1589	13.326324	52.591315	7681	13.3260408	52.5912953	0.0315625059475723
1590	13.296888	52.50980300000001	269	13.2973672	52.5108871	0.12884880786288383
1591	13.335082	52.484089	4426	13.3369452	52.485805	0.27819890812924025
1592	13.433915	52.536706499999994	8924	13.4342686	52.5373988	0.08456989485022294
1593	13.371799	52.49629	4367	13.3709145	52.4926751	0.4032407566820138
1594	13.316756	52.48151	698	13.3158528	52.4817987	0.10517763332270565
1595	13.384976000000002	52.464282	6795	13.3855217	52.4642668	0.06070142875576635
1596	13.478988	52.539363	3928	13.4759572	52.5368422	0.4334471917707247
1597	13.314109	52.466748	5528	13.3132252	52.4657885	0.1429590557024868
1598	13.320331	52.483035	1114	13.320401	52.4829224	0.01445781683441732
1599	13.292973499999999	52.50868800000001	7155	13.2922129	52.5107455	0.23817624925135292
1600	13.64103925	52.42612625	4739	13.6555581	52.4156956	1.968931160031122
1601	13.376965	52.51215	4968	13.3770286	52.5123583	0.023617219093987223
1602	13.619132	52.407540000000004	8676	13.6234416	52.3905647	1.8960360772607832
1603	13.276167999999998	52.448274	2166	13.2763529	52.4483042	0.0208181278927264
1604	13.340328	52.518388	314	13.3404401	52.5185537	0.021835369178030296
1605	13.172163	52.446205000000006	8195	13.1866643	52.4321908	2.2140832688973604
1606	13.504195	52.626662	3154	13.4982437	52.6287504	0.6992186895106359
1607	13.324412	52.52241400000001	11926	13.3249106	52.5215837	0.10556988451285387
1608	13.271632333333335	52.504911	6473	13.2733829	52.5085274	0.4371182539806475
1609	13.566641	52.560256	3493	13.562868	52.5614104	0.43770285659288033
1610	13.376477	52.520621	9366	13.376293	52.5220236	0.15310439254047706
1611	13.318513	52.50748299999999	9911	13.3185425	52.5061	0.14968266737163924
1612	13.529379999999998	52.53710699999999	2118	13.5309193	52.5381421	0.20449711614760663
1613	13.385604	52.544999	1536	13.3864756	52.5433434	0.20363541996747872
1614	13.350518	52.532685	3882	13.3505342	52.5325251	0.01739312997385369
1615	13.3264906	52.49827679999999	4527	13.3262874	52.500181	0.2072713947034014
1616	13.40699	52.569073	2377	13.4078183	52.5702209	0.1545935585468145
1617	13.383322	52.535934	6774	13.3823623	52.5377062	0.21940858317979337
1618	13.406099	52.545727	3749	13.4054454	52.5469839	0.15415955601730452
1619	13.435285999999998	52.553279	4718	13.4347075	52.5536043	0.07331879076820005
1620	13.242924	52.433271	9440	13.2426514	52.4336693	0.05270090797583159
1621	13.097411	52.410685	3700	13.0967897	52.4132322	0.28438738900247995
1622	13.384785	52.547352	6767	13.3834523	52.5485375	0.19597465201201866
1623	13.377687	52.490058	10981	13.3766996	52.4894108	0.1302172510033171
1624	13.287511	52.49566899999999	661	13.2877611	52.4961047	0.05474099424640366
1625	13.503056	52.566073	6824	13.5040518	52.562968	0.35350534934620437
1626	13.544937	52.519809	11211	13.5431761	52.5202017	0.20035255523908366
1627	13.446847	52.508783	2889	13.4499485	52.5073139	0.3797083262021781
1628	13.336731	52.51529049999999	6724	13.3365268	52.5149527	0.04302758336243309
1629	13.52561	52.55585	4617	13.5256691	52.5556707	0.020467983572894824
1630	13.569653	52.559159	3492	13.5718952	52.5606904	0.29926815662324313
1631	13.3824605	52.548843999999995	6744	13.3828332	52.5480377	0.0965668722709889
